priority,score,system,year,project_document,why_it_matters,captures,unique_versions,mime_type,original,archive_exact,archive_history
HIGH,12,Contracts / Bids,2025,bid requests,priority category; 21 unique versions; infrastructure/money keyword; financial/project keyword,22,21,text/html,https://www.copperascovetx.gov/finance_department/bid_requests/,https://web.archive.org/web/20250718195843/https://www.copperascovetx.gov/finance_department/bid_requests/,https://web.archive.org/web/*/https://www.copperascovetx.gov/finance_department/bid_requests/
HIGH,12,Contracts / Bids,2015,bid requests.htm,priority category; 6 unique versions; infrastructure/money keyword; financial/project keyword,6,6,text/html,http://www.copperascovetx.gov:80/pages/finance_department/bid_requests.htm,https://web.archive.org/web/20150404001600/http://www.copperascovetx.gov:80/pages/finance_department/bid_requests.htm,https://web.archive.org/web/*/http://www.copperascovetx.gov:80/pages/finance_department/bid_requests.htm
HIGH,11,Golf,2025,golf course,priority category; 24 unique versions; infrastructure/money keyword,25,24,text/html,https://www.copperascovetx.gov/golf_course/,https://web.archive.org/web/20250803030756/https://www.copperascovetx.gov/golf_course/,https://web.archive.org/web/*/https://www.copperascovetx.gov/golf_course/
HIGH,11,Water,2025,stormwater,priority category; 17 unique versions; infrastructure/money keyword,23,17,text/html,https://www.copperascovetx.gov/public_works/stormwater/,https://web.archive.org/web/20250803030008/https://www.copperascovetx.gov/public_works/stormwater/,https://web.archive.org/web/*/https://www.copperascovetx.gov/public_works/stormwater/
HIGH,11,Water,2025,water quality reports,priority category; 15 unique versions; infrastructure/money keyword,19,15,text/html,https://www.copperascovetx.gov/public_works/water_quality_reports/,https://web.archive.org/web/20250203055041/https://www.copperascovetx.gov/public_works/water_quality_reports/,https://web.archive.org/web/*/https://www.copperascovetx.gov/public_works/water_quality_reports/
HIGH,11,Wastewater,2025,wastewater,priority category; 13 unique versions; infrastructure/money keyword,19,13,text/html,https://www.copperascovetx.gov/public_works/wastewater/,https://web.archive.org/web/20250316035139/https://www.copperascovetx.gov/public_works/wastewater/,https://web.archive.org/web/*/https://www.copperascovetx.gov/public_works/wastewater/
HIGH,11,Water,2025,water distribution,priority category; 11 unique versions; infrastructure/money keyword,15,11,text/html,https://www.copperascovetx.gov/public_works/water_distribution/,https://web.archive.org/web/20250612221507/https://www.copperascovetx.gov/public_works/water_distribution/,https://web.archive.org/web/*/https://www.copperascovetx.gov/public_works/water_distribution/
HIGH,11,Contracts / Bids,2024,city contracts,priority category; 10 unique versions; infrastructure/money keyword,15,10,text/html,https://www.copperascovetx.gov/city_secretary/city-contracts/,https://web.archive.org/web/20240610212929/https://www.copperascovetx.gov/city_secretary/city-contracts/,https://web.archive.org/web/*/https://www.copperascovetx.gov/city_secretary/city-contracts/
HIGH,11,Wastewater,2025,sewer,priority category; 8 unique versions; infrastructure/money keyword,14,8,text/html,https://www.copperascovetx.gov/public_works/sewer/,https://web.archive.org/web/20250216085200/https://www.copperascovetx.gov/public_works/sewer/,https://web.archive.org/web/*/https://www.copperascovetx.gov/public_works/sewer/
HIGH,11,Wastewater,2025,wastewater capacity,priority category; 7 unique versions; infrastructure/money keyword,8,7,text/html,https://www.copperascovetx.gov/public_works/wastewater_capacity/,https://web.archive.org/web/20250803025932/https://www.copperascovetx.gov/public_works/wastewater_capacity/,https://web.archive.org/web/*/https://www.copperascovetx.gov/public_works/wastewater_capacity/
HIGH,11,Water,2025,stormwater stormwater education,priority category; 7 unique versions; infrastructure/money keyword,8,7,text/html,https://www.copperascovetx.gov/public_works/stormwater-stormwater_education/,https://web.archive.org/web/20250327005714/https://www.copperascovetx.gov/public_works/stormwater-stormwater_education/,https://web.archive.org/web/*/https://www.copperascovetx.gov/public_works/stormwater-stormwater_education/
HIGH,11,Golf,2020,golf course,priority category; 6 unique versions; infrastructure/money keyword,6,6,text/html,http://www.copperascovetx.gov/golf_course/,https://web.archive.org/web/20200502183114/http://www.copperascovetx.gov/golf_course/,https://web.archive.org/web/*/http://www.copperascovetx.gov/golf_course/
HIGH,11,Wastewater,2020,wastewater,priority category; 6 unique versions; infrastructure/money keyword,6,6,text/html,http://www.copperascovetx.gov/public_works/wastewater/,https://web.archive.org/web/20200502145641/http://www.copperascovetx.gov/public_works/wastewater/,https://web.archive.org/web/*/http://www.copperascovetx.gov/public_works/wastewater/
HIGH,11,Water,2025,stormwater complaint form,priority category; 6 unique versions; infrastructure/money keyword,7,6,text/html,https://www.copperascovetx.gov/public_works/stormwater/stormwater_complaint_form/,https://web.archive.org/web/20250803021114/https://www.copperascovetx.gov/public_works/stormwater/stormwater_complaint_form/,https://web.archive.org/web/*/https://www.copperascovetx.gov/public_works/stormwater/stormwater_complaint_form/
HIGH,11,Golf,2015,golf course.htm,priority category; 5 unique versions; infrastructure/money keyword,5,5,text/html,http://www.copperascovetx.gov:80/pages/golf_course/golf_course.htm,https://web.archive.org/web/20150307191224/http://www.copperascovetx.gov:80/pages/golf_course/golf_course.htm,https://web.archive.org/web/*/http://www.copperascovetx.gov:80/pages/golf_course/golf_course.htm
HIGH,11,Wastewater,2015,sewer department.htm,priority category; 5 unique versions; infrastructure/money keyword,5,5,text/html,http://www.copperascovetx.gov:80/pages/sewer_department/sewer_department.htm,https://web.archive.org/web/20150228213308/http://www.copperascovetx.gov:80/pages/sewer_department/sewer_department.htm,https://web.archive.org/web/*/http://www.copperascovetx.gov:80/pages/sewer_department/sewer_department.htm
HIGH,11,Wastewater,2015,wastewater.htm,priority category; 5 unique versions; infrastructure/money keyword,5,5,text/html,http://www.copperascovetx.gov:80/pages/water/wastewater.htm,https://web.archive.org/web/20150228213327/http://www.copperascovetx.gov:80/pages/water/wastewater.htm,https://web.archive.org/web/*/http://www.copperascovetx.gov:80/pages/water/wastewater.htm
HIGH,11,Wastewater,2020,sewer,priority category; 5 unique versions; infrastructure/money keyword,5,5,text/html,http://www.copperascovetx.gov/public_works/sewer/,https://web.archive.org/web/20200502153804/http://www.copperascovetx.gov/public_works/sewer/,https://web.archive.org/web/*/http://www.copperascovetx.gov/public_works/sewer/
